사원번호,이름,성별,나이,생년월일,주민등록번호,병역,입사일,근속기간,학력,출신대학,학점,채용경로,계약형태,이전직장명,이전최종직급,이전담당업무,회사명,사업장위치,부서,팀,부서레벨,직급,직책,직급레벨,퇴직구분,퇴직일자,이메일,전화번호,주소,연봉,잔업시간,미사용휴가일수,급여은행,계좌번호,4대보험가입여부,성과점수,인사고과_2020,인사고과_2021,인사고과_2022,인사고과_2023,인사고과_2024,자격증,TOEIC점수,자격증수당여부,포상이력,징계이력,징계사유
EMP0181,성예원,여,43,1984-01-27,840127-2213174,해당없음,2012-06-15,13,대졸,전북대학교,2.7,추천,정규직,,,,두리안정보기술,경기 판교,영업부,해외영업팀,1,차장,팀원,2,,,sungyewon_work@kakao.com,010-7836-5526,서울시 강동구 천호동,65000000,25,14,국민은행,222626-54-910179,가입,88,S,A,A,B,A,리눅스마스터,,해당,,,
EMP0182,박성준,남,36,1991-07-26,910726-1923408,면제,2014-10-04,11,대졸,충남대학교,3.2,경력,정규직,KT,대리,마케팅기획,두리안정보기술,서울 여의도,기획부,사업기획팀,1,과장,팀원,1,,,parksungjun_dev@naver.com,010-1526-8752,서울시 노원구 상계동,55000000,19,8,토스뱅크,100-5688-6757,가입,85,B,B,B,C,B,정보보안기사,,해당,팀워크상,,
EMP0183,엄성민,남,33,1994-10-10,941010-1591130,군필,2023-05-10,3,대학원졸,숭실대학교,3.5,경력,정규직,포스코,대리,마케팅기획,두리안정보기술,서울 여의도,기획부,사업기획팀,1,대리,팀원,1,,,umsungmin81@gmail.com,010-3303-5954,서울시 송파구 잠실동,40000000,16,13,농협은행,351-2865-3081-67,가입,82,,,,B,B,,,비해당,,,
EMP0184,장유진,여,40,1987-07-05,870705-2243028,해당없음,2018-01-25,8,고졸,,,공채,정규직,,,,두리안정보기술,서울 여의도,개발부,인프라팀,1,과장,팀원,1,계약만료,2020-04-07,jangyujin.8@nate.com,010-4288-2879,서울시 강남구 논현동,59400000,28,4,기업은행,010-67-736026,가입,84,B,B,B,B,B,,604,비해당,,,
EMP0185,임재현,남,25,2002-08-01,020801-3603805,미필,2025-04-04,1,대졸,서울대학교,3.1,인턴전환,정규직,,,,두리안정보기술,서울 여의도,마케팅부,브랜드팀,1,사원,팀원,1,,,limjaehyun48@kakao.com,010-7830-7960,서울시 서초구 방배동,38000000,9,15,농협은행,302-4746-8239-77,가입,63,,,,,,,761,비해당,,,
EMP0186,류민호,남,30,1997-01-21,970121-1171523,군필,2025-10-10,0,대졸,충남대학교,2.9,추천,계약직,,,,두리안정보기술,서울 여의도,개발부,AI팀,1,사원,팀원,1,,,ryuminho.6@hanmail.net,010-6703-7615,서울시 강남구 논현동,40700000,11,5,하나은행,181-384441-7946,가입,75,,,,,,,901,비해당,,,
EMP0187,이준우,남,25,2002-08-11,020811-3614958,군필,2025-08-22,0,대학원졸,경북대학교,3.6,추천,계약직,,,,두리안정보기술,서울 여의도,인사부,채용팀,3,사원,팀원,1,,,leejunwoo_859@gmail.com,010-1397-2576,서울시 마포구 합정동,33000000,15,7,농협은행,302-2847-1727-00,가입,69,,,,,,ADsP,826,해당,,,
EMP0188,장민준,남,33,1994-02-11,940211-1968376,미필,2019-09-28,6,전문대졸,영진전문대학교,3.3,추천,정규직,,,,두리안정보기술,서울 여의도,기획부,사업기획팀,1,대리,팀원,1,,,jangminjun.4@hanmail.net,010-9192-6115,서울시 은평구 불광동,40000000,16,2,우리은행,1006-347-212689,가입,79,B,B,B,B,C,리눅스마스터,776,해당,,,
EMP0189,성지호,남,38,1989-01-11,890111-1143768,면제,2018-11-01,7,전문대졸,영진전문대학교,3.3,경력,정규직,삼성전자,대리,프로젝트관리,두리안정보기술,경기 판교,영업부,국내영업팀,1,과장,팀원,1,,,sungjiho_458@gmail.com,010-1906-1431,서울시 마포구 합정동,54000000,18,7,신한은행,100-688-433660,가입,81,A,A,B,B,C,,782,비해당,,,
EMP0190,엄서윤,여,38,1989-07-23,890723-2232871,해당없음,2020-07-25,5,대졸,성균관대학교,3,인턴전환,계약직,,,,두리안정보기술,서울 강남,마케팅부,브랜드팀,1,과장,팀원,1,,,umseoyoon.3@kakao.com,010-8843-3005,서울시 강남구 논현동,50000000,20,1,국민은행,047699-55-206399,가입,78,B,D,C,B,B,,868,비해당,,,
EMP0191,안민석,남,31,1996-12-10,961210-1781478,군필,2024-04-15,2,대졸,경북대학교,3,인턴전환,계약직,,,,두리안정보기술,서울 여의도,기획부,사업기획팀,1,사원,팀원,1,,,ahnminseok_work@gmail.com,010-1978-5572,인천시 부평구 부평동,35000000,6,15,기업은행,010-64-746872,가입,60,,,,,D,정보보안기사,,해당,,경고,업무태만
EMP0192,노서윤,여,33,1994-04-13,940413-2506963,해당없음,2020-01-08,6,대졸,경희대학교,3.9,인턴전환,정규직,,,,두리안정보기술,경기 판교,마케팅부,디지털마케팅팀,1,대리,팀원,1,,,nohseoyoon30@nate.com,010-4903-3160,서울시 강남구 역삼동,40000000,18,13,기업은행,010-43-098050,가입,82,B,A,C,B,B,,,비해당,,,
EMP0193,엄나은,여,27,2000-10-13,001013-4183410,해당없음,2023-05-11,3,전문대졸,인하공업전문대학,3.7,인턴전환,정규직,,,,두리안정보기술,경기 판교,기획부,사업기획팀,1,사원,팀원,1,,,umnaeun_dev@kakao.com,010-3084-4726,경기도 용인시 기흥구 영덕동,30000000,14,10,국민은행,019605-60-486092,가입,77,,,,C,B,정보보안기사,932,해당,,,
EMP0194,임우혁,남,36,1991-01-06,910106-1125894,군필,2014-02-21,12,대학원졸,경희대학교,2.6,경력,정규직,카카오,사원,인사관리,두리안정보기술,서울 강남,기획부,사업기획팀,1,차장,팀원,2,,,limwoohyuk.5@gmail.com,010-3626-7034,서울시 강남구 삼성동,70000000,24,11,국민은행,146438-66-624033,가입,90,A,B,A,A,A,,,비해당,MVP,,
EMP0195,임하영,여,25,2002-06-17,020617-4382258,해당없음,2025-04-26,1,대졸,충남대학교,3.5,공채,정규직,,,,두리안정보기술,서울 여의도,기획부,사업기획팀,1,사원,팀원,1,,,limhayoung56@daum.net,010-2890-4949,서울시 강서구 마곡동,38000000,18,9,신한은행,100-333-909082,가입,78,,,,,,,741,비해당,,,
EMP0196,양하린,여,35,1992-11-16,921116-2845937,해당없음,2019-02-12,7,대학원졸,홍익대학교,3.9,경력,계약직,쿠팡,대리,마케팅기획,두리안정보기술,경기 판교,인사부,교육팀,3,대리,팀원,1,,,yangharin5@naver.com,010-9436-9672,서울시 은평구 불광동,47000000,21,4,농협은행,351-4758-2675-71,가입,71,C,B,C,B,B,,,비해당,우수사원상,,
EMP0197,문수아,여,35,1992-02-11,920211-2722385,해당없음,2022-12-10,3,대졸,부산대학교,3.6,공채,정규직,,,,두리안정보기술,서울 강남,기획부,전략기획팀,1,대리,팀원,1,,,moonsua42@naver.com,010-5871-9082,서울시 용산구 이태원동,43000000,20,12,토스뱅크,100-2019-6200,가입,82,,,A,B,B,,,비해당,,,
EMP0198,주준서,남,40,1987-06-13,870613-1678985,군필,2016-07-10,9,고졸,,,경력,정규직,KT,과장,프론트엔드개발,두리안정보기술,서울 강남,인사부,채용팀,3,과장,팀원,1,,,jujunseo70@daum.net,010-4328-5617,경기도 고양시 일산동구 장항동,53000000,18,1,기업은행,010-97-882081,가입,83,B,B,B,B,B,,618,비해당,,,
EMP0199,방은별,여,33,1994-02-23,940223-2432951,해당없음,2017-08-10,8,대학원졸,건국대학교,4,경력,정규직,LG전자,과장,프론트엔드개발,두리안정보기술,경기 판교,개발부,인프라팀,1,과장,팀원,1,,,bangeunbyul.3@kakao.com,010-4607-4205,서울시 송파구 문정동,64900000,26,1,하나은행,162-154369-5187,가입,84,B,B,B,B,A,,,비해당,우수사원상,,
EMP0200,임지영,여,31,1996-11-03,961103-2539976,해당없음,2024-03-07,2,대졸,아주대학교,3.6,경력,계약직,쿠팡,대리,인사관리,두리안정보기술,서울 여의도,인사부,채용팀,3,사원,팀원,1,계약만료,2026-01-15,limjiyoung@nate.com,010-7522-3098,경기도 성남시 분당구 판교동,38000000,10,13,토스뱅크,100-0759-1941,가입,67,,,,,C,,651,비해당,우수사원상,,
EMP0201,구수진,여,44,1983-09-07,830907-2120887,해당없음,2011-05-09,15,대학원졸,이화여자대학교,3.1,추천,정규직,,,,두리안정보기술,경기 판교,개발부,AI팀,1,부장,팀원,2,,,koosujin.1@naver.com,010-6932-9773,서울시 마포구 합정동,96800000,18,10,국민은행,794707-17-314916,가입,83,C,C,B,B,B,,,비해당,팀워크상,,
EMP0202,성성호,남,44,1983-06-14,830614-1259223,군필,2007-03-12,19,대학원졸,서울대학교,3.3,공채,정규직,,,,두리안정보기술,경기 판교,기획부,전략기획팀,1,부장,팀원,2,,,sungsungho48@naver.com,010-2633-5329,경기도 용인시 기흥구 영덕동,81000000,18,9,농협은행,356-6621-9639-13,가입,85,B,B,B,B,A,컴퓨터활용능력1급,,해당,MVP,정직,업무태만
EMP0203,손다현,여,28,1999-05-16,990516-2362111,해당없음,2022-07-18,3,대졸,아주대학교,3.9,추천,정규직,,,,두리안정보기술,경기 판교,기획부,전략기획팀,1,대리,팀원,1,,,sondahyun_dev@kakao.com,010-6102-6535,서울시 서초구 방배동,42000000,12,15,신한은행,100-283-441276,미가입,80,,,B,B,B,SQLD,586,해당,,,
EMP0204,홍동현,남,42,1985-04-25,850425-1673660,군필,2016-05-23,9,전문대졸,명지전문대학,3,경력,계약직,LG전자,사원,재무회계,두리안정보기술,경기 판교,마케팅부,브랜드팀,1,차장,팀원,2,,,hongdonghyun.5@daum.net,010-7088-3718,서울시 서초구 방배동,68000000,21,9,신한은행,140-683-272571,가입,78,B,D,B,B,C,,820,비해당,,,
EMP0205,곽예린,여,41,1986-04-11,860411-2114815,해당없음,2012-08-15,13,대졸,덕성여자대학교,2.5,추천,정규직,,,,두리안정보기술,경기 판교,인사부,채용팀,3,차장,팀원,2,,,kwakyerin_work@hanmail.net,010-9864-4319,서울시 강남구 논현동,71000000,19,13,우리은행,1005-426-666931,가입,82,B,B,C,B,C,AWS Solutions Architect,825,해당,,,
EMP0206,조건우,남,29,1998-03-26,980326-1546070,군필,2021-10-04,4,전문대졸,영진전문대학교,3.9,인턴전환,계약직,,,,두리안정보기술,서울 여의도,기획부,사업기획팀,1,대리,팀원,1,,,jogunwoo58@daum.net,010-6107-9552,서울시 용산구 이태원동,46000000,15,3,토스뱅크,100-7670-0918,가입,77,,B,B,B,B,,958,비해당,,,
EMP0207,구건우,남,28,1999-08-16,990816-1486785,군필,2025-07-18,0,대졸,동국대학교,3.8,공채,정규직,,,,두리안정보기술,서울 강남,개발부,인프라팀,1,사원,팀원,1,,,koogunwoo92@gmail.com,010-5145-5492,경기도 용인시 기흥구 영덕동,37400000,13,8,기업은행,010-19-136193,가입,60,,,,,,,684,비해당,,감봉,복무규정위반
EMP0208,주서준,남,48,1979-08-24,790824-1857213,군필,2004-08-06,21,고졸,,,경력,정규직,쿠팡,사원,백엔드개발,두리안정보기술,경기 판교,개발부,AI팀,1,부장,팀원,2,,,juseojun.4@naver.com,010-5368-2375,서울시 마포구 상암동,85800000,20,12,토스뱅크,100-9985-5392,가입,82,C,B,A,A,B,,,비해당,,,
EMP0209,박나은,여,39,1988-12-27,881227-2859459,해당없음,2011-03-21,15,대졸,건국대학교,3.2,인턴전환,정규직,,,,두리안정보기술,서울 강남,영업부,해외영업팀,1,차장,팀원,2,,,parknaeun49@nate.com,010-5703-3916,서울시 송파구 문정동,60000000,19,6,신한은행,180-446-061029,가입,88,B,S,B,A,A,,,비해당,,,
EMP0210,주재민,남,30,1997-03-10,970310-1195166,군필,2022-05-07,4,대학원졸,연세대학교,3,인턴전환,정규직,,,,두리안정보기술,서울 여의도,마케팅부,브랜드팀,1,대리,팀원,1,,,jujaemin76@naver.com,010-8655-6291,서울시 노원구 상계동,42000000,14,14,우리은행,1006-384-647586,가입,74,,,B,B,B,정보보안기사,,해당,,,
EMP0211,지하영,여,29,1998-01-06,980106-2900244,해당없음,2025-11-12,0,대졸,성균관대학교,3.9,경력,정규직,롯데그룹,대리,백엔드개발,두리안정보기술,서울 강남,마케팅부,브랜드팀,1,사원,팀원,1,,,jihayoung_510@daum.net,010-9586-4251,경기도 고양시 일산동구 장항동,36000000,11,8,토스뱅크,100-1781-8521,가입,73,,,,,,,705,비해당,,,
EMP0212,장수현,남,25,2002-06-15,020615-3840529,군필,2025-03-26,1,대졸,서울대학교,3.8,경력,정규직,SK하이닉스,대리,재무회계,두리안정보기술,서울 여의도,인사부,교육팀,3,사원,팀원,1,,,jangsoohyun_dev@nate.com,010-7956-7452,경기도 수원시 영통구 매탄동,36000000,17,12,신한은행,100-594-291872,가입,63,,,,,,,,비해당,,,
EMP0213,문정수,남,45,1982-03-25,820325-1815485,군필,2016-04-20,10,대졸,성균관대학교,3.9,추천,정규직,,,,두리안정보기술,서울 여의도,영업부,해외영업팀,1,차장,팀원,2,,,moonjungsu45@naver.com,010-6226-3109,경기도 고양시 일산동구 장항동,63000000,22,2,하나은행,111-068179-5846,가입,90,A,A,A,A,A,,990,비해당,,,
EMP0214,엄하은,여,31,1996-01-10,960110-2150901,해당없음,2023-07-25,2,대졸,명지대학교,3.3,추천,계약직,,,,두리안정보기술,서울 여의도,영업부,국내영업팀,1,사원,팀원,1,,,umhaeun_work@kakao.com,010-6528-5852,서울시 강남구 역삼동,36000000,9,3,기업은행,030-90-916998,가입,61,,,,D,D,컴퓨터활용능력1급,916,해당,,,
EMP0215,오다현,여,33,1994-05-21,940521-2253878,해당없음,2023-08-11,2,대학원졸,경희대학교,2.9,추천,정규직,,,,두리안정보기술,서울 강남,기획부,전략기획팀,1,대리,팀원,1,자발적퇴직,2024-12-17,ohdahyun82@naver.com,010-5208-2298,서울시 영등포구 여의도동,38000000,16,10,우리은행,1006-173-503823,가입,70,,,,C,C,,,비해당,,감봉,복무규정위반
EMP0216,서동현,남,31,1996-04-23,960423-1401813,군필,2019-09-18,6,대학원졸,이화여자대학교,3.6,인턴전환,계약직,,,,두리안정보기술,경기 판교,영업부,해외영업팀,1,대리,팀원,1,,,seodonghyun@daum.net,010-6237-6674,서울시 강서구 마곡동,38000000,19,10,국민은행,869251-94-899166,가입,81,B,A,B,B,B,정보보안기사,615,해당,팀워크상,,
EMP0217,남정수,남,26,2001-01-22,010122-3736613,군필,2024-05-13,2,대졸,고려대학교,3,인턴전환,정규직,,,,두리안정보기술,서울 여의도,마케팅부,브랜드팀,1,사원,팀원,1,,,namjungsu32@hanmail.net,010-7693-6767,서울시 마포구 합정동,31000000,6,6,토스뱅크,100-5770-0155,가입,72,,,,,D,ADsP,,해당,,,
EMP0218,구나은,여,32,1995-11-21,951121-2335082,해당없음,2018-02-22,8,대졸,이화여자대학교,3.6,추천,정규직,,,,두리안정보기술,경기 판교,영업부,해외영업팀,1,대리,팀원,1,,,koonaeun3@daum.net,010-1372-7378,경기도 수원시 영통구 매탄동,48000000,19,13,토스뱅크,100-2079-7199,가입,70,C,C,D,C,C,빅데이터분석기사,,해당,,,
EMP0219,한민호,남,30,1997-04-11,970411-1593050,군필,2022-08-23,3,전문대졸,인하공업전문대학,3.2,추천,계약직,,,,두리안정보기술,경기 판교,영업부,국내영업팀,1,대리,팀원,1,,,hanminho92@kakao.com,010-8877-1979,서울시 강동구 천호동,40000000,11,8,하나은행,200-048662-8930,가입,81,,,B,A,B,SQLD,516,해당,,,
EMP0220,방지우,여,33,1994-11-15,941115-2925621,해당없음,2018-09-21,7,대졸,한양대학교,3.6,공채,계약직,,,,두리안정보기술,서울 여의도,개발부,백엔드팀,1,대리,팀원,1,,,bangjiwoo_dev@gmail.com,010-4621-7076,경기도 고양시 일산동구 장항동,48400000,21,8,기업은행,020-43-534624,가입,76,C,B,B,C,B,,,비해당,,,
EMP0221,천다현,여,29,1998-08-23,980823-2429563,해당없음,2021-11-10,4,대학원졸,단국대학교,2.7,경력,정규직,쿠팡,과장,영업관리,두리안정보기술,경기 판교,영업부,국내영업팀,1,대리,팀원,1,,,chundahyun68@nate.com,010-2060-6609,서울시 송파구 잠실동,45000000,16,5,국민은행,333305-08-432773,가입,83,,B,B,B,B,AWS Solutions Architect,,해당,,,
EMP0222,신소희,여,28,1999-02-21,990221-2568328,해당없음,2022-12-26,3,대졸,가천대학교,3.8,공채,정규직,,,,두리안정보기술,서울 강남,영업부,해외영업팀,1,사원,팀원,1,,,shinsohee_766@gmail.com,010-5354-5546,서울시 강남구 논현동,33000000,8,5,하나은행,111-329543-4524,가입,68,,,B,C,C,,,비해당,,,
EMP0223,방시우,남,28,1999-04-19,990419-1944906,군필,2026-04-08,0,대졸,명지대학교,3,공채,계약직,,,,두리안정보기술,경기 판교,마케팅부,디지털마케팅팀,1,사원,팀원,1,,,bangsiwoo@hanmail.net,010-8918-9424,서울시 강동구 천호동,37000000,5,13,신한은행,140-168-450015,가입,68,,,,,,,953,비해당,,,
EMP0224,안보미,여,32,1995-09-10,950910-2420218,해당없음,2021-11-18,4,대졸,경북대학교,2.5,추천,정규직,,,,두리안정보기술,경기 판교,마케팅부,디지털마케팅팀,1,대리,팀원,1,,,ahnbomi_dev@naver.com,010-4144-7491,서울시 마포구 상암동,48000000,22,3,토스뱅크,100-5708-4557,가입,83,,C,B,A,B,,898,비해당,공로상,,
EMP0225,민준우,남,35,1992-07-25,920725-1794214,군필,2020-11-20,5,고졸,,,인턴전환,정규직,,,,두리안정보기술,서울 강남,인사부,교육팀,3,대리,팀원,1,,,minjunwoo.9@nate.com,010-4267-4522,인천시 부평구 부평동,42000000,14,0,기업은행,020-51-079911,가입,79,B,B,B,B,B,AWS Solutions Architect,,해당,,정직,지각반복
EMP0226,송지민,여,27,2000-08-24,000824-4718458,해당없음,2025-06-24,0,대졸,가천대학교,2.9,추천,정규직,,,,두리안정보기술,서울 강남,개발부,인프라팀,1,사원,팀원,1,,,songjimin_work@hanmail.net,010-9700-5774,서울시 강남구 역삼동,40700000,14,2,카카오뱅크,333-74-4756320,가입,66,,,,,,,896,비해당,,,
EMP0227,함시우,남,46,1981-04-06,810406-1928519,군필,2006-08-24,19,대졸,한국외국어대학교,2.9,인턴전환,계약직,,,,두리안정보기술,서울 여의도,마케팅부,디지털마케팅팀,1,부장,팀원,2,,,hamsiwoo.2@gmail.com,010-9712-3592,경기도 성남시 분당구 정자동,85000000,16,10,신한은행,180-141-924224,가입,91,A,A,S,S,B,빅데이터분석기사,,해당,,,
EMP0228,주민호,남,46,1981-11-14,811114-1471872,군필,2013-02-25,13,대학원졸,전북대학교,3.5,경력,정규직,쿠팡,사원,재무회계,두리안정보기술,경기 판교,마케팅부,브랜드팀,1,차장,팀원,2,계약만료,2024-05-02,juminho.1@hanmail.net,010-1646-3086,경기도 수원시 영통구 매탄동,64000000,18,4,농협은행,356-3751-8854-80,가입,90,A,A,S,A,A,,834,비해당,,,
EMP0229,정지수,여,30,1997-05-06,970506-2859712,해당없음,2020-04-07,6,전문대졸,영진전문대학교,2.5,인턴전환,정규직,,,,두리안정보기술,경기 판교,영업부,국내영업팀,1,대리,팀원,1,,,jungjisu_858@naver.com,010-2487-9305,서울시 노원구 상계동,44000000,12,3,토스뱅크,100-5218-2793,가입,74,B,B,B,B,B,빅데이터분석기사,563,해당,공로상,,
EMP0230,안예은,여,31,1996-07-13,960713-2828833,해당없음,2026-01-13,0,대학원졸,부산대학교,3.9,추천,계약직,,,,두리안정보기술,서울 강남,영업부,해외영업팀,1,사원,팀원,1,,,ahnyeeun_dev@hanmail.net,010-7797-3580,서울시 영등포구 여의도동,31000000,17,1,하나은행,181-872717-4482,가입,61,,,,,,AWS Solutions Architect,,해당,,정직,지각반복
EMP0231,오준서,남,26,2001-03-01,010301-3169547,군필,2024-02-26,2,고졸,,,인턴전환,정규직,,,,두리안정보기술,서울 여의도,인사부,교육팀,3,사원,팀원,1,,,ohjunseo_dev@kakao.com,010-8692-5208,서울시 서초구 방배동,37000000,12,13,국민은행,191230-97-978676,가입,74,,,,,C,,507,비해당,,,
EMP0232,지보미,여,36,1991-08-16,910816-2707511,해당없음,2018-12-04,7,전문대졸,인하공업전문대학,2.8,경력,정규직,카카오,사원,영업관리,두리안정보기술,서울 강남,인사부,채용팀,3,대리,팀원,1,자발적퇴직,2024-06-14,jibomi_286@naver.com,010-7500-6284,서울시 강남구 역삼동,47000000,21,1,하나은행,181-018373-2828,가입,80,B,B,B,A,B,,,비해당,MVP,,
EMP0233,심민지,여,30,1997-10-09,971009-2226120,해당없음,2023-04-15,3,대졸,국민대학교,3,인턴전환,정규직,,,,두리안정보기술,서울 강남,마케팅부,디지털마케팅팀,1,사원,팀원,1,,,shimminji74@hanmail.net,010-4192-3321,서울시 송파구 잠실동,38000000,7,9,농협은행,302-6880-4343-19,가입,71,,,,B,C,정보처리기사,,해당,공로상,,
EMP0234,서지훈,남,40,1987-09-17,870917-1682753,군필,2014-03-19,12,대졸,인하대학교,3.1,경력,정규직,KT,대리,데이터분석,두리안정보기술,경기 판교,기획부,사업기획팀,1,과장,팀원,1,,,seojihoon27@naver.com,010-4972-7410,서울시 마포구 상암동,48000000,21,2,카카오뱅크,333-47-9525982,가입,85,B,A,B,B,A,정보보안기사,980,해당,,,
EMP0235,배하영,여,27,2000-05-05,000505-4142961,해당없음,2024-02-08,2,전문대졸,영진전문대학교,3.6,인턴전환,계약직,,,,두리안정보기술,서울 여의도,개발부,프론트팀,1,사원,팀원,1,자발적퇴직,2025-10-31,baehayoung84@daum.net,010-4680-9566,서울시 서초구 서초동,39600000,18,3,농협은행,356-3089-3291-73,가입,68,,,,,C,SQLD,,해당,,,
EMP0236,방재현,남,41,1986-12-14,861214-1501171,군필,2013-11-16,12,전문대졸,영진전문대학교,3.9,인턴전환,정규직,,,,두리안정보기술,경기 판교,개발부,백엔드팀,1,차장,팀원,2,,,bangjaehyun.6@nate.com,010-7911-7451,서울시 강남구 삼성동,72600000,24,3,농협은행,351-4953-7596-46,가입,79,B,B,B,B,B,ADsP,928,해당,,,
EMP0237,진은별,여,40,1987-07-27,870727-2319551,해당없음,2014-09-02,11,대학원졸,한국외국어대학교,2.6,인턴전환,정규직,,,,두리안정보기술,서울 강남,마케팅부,디지털마케팅팀,1,과장,팀원,1,,,jineunbyul@hanmail.net,010-9818-4728,서울시 용산구 이태원동,60000000,29,11,국민은행,314309-72-609288,가입,80,A,B,B,B,B,,857,비해당,,,
EMP0238,조하린,여,42,1985-11-06,851106-2194940,해당없음,2011-10-16,14,전문대졸,경북전문대학교,3,추천,계약직,,,,두리안정보기술,서울 강남,마케팅부,디지털마케팅팀,1,차장,팀원,2,,,joharin69@nate.com,010-5815-2346,서울시 용산구 이태원동,72000000,19,10,기업은행,030-38-425135,가입,80,A,B,A,B,B,,703,비해당,,,
EMP0239,유도윤,남,35,1992-01-16,920116-1552266,면제,2022-11-09,3,대졸,충남대학교,2.7,경력,정규직,KT,차장,프로젝트관리,두리안정보기술,서울 여의도,인사부,채용팀,3,대리,팀원,1,,,yoodoyoon_kr@nate.com,010-5045-9819,경기도 고양시 일산동구 장항동,41000000,15,10,카카오뱅크,333-11-5273043,가입,75,,,B,C,B,컴퓨터활용능력1급,,해당,,,
EMP0240,조도현,남,48,1979-10-08,791008-1838425,군필,2006-02-26,20,대졸,경희대학교,3.4,추천,정규직,,,,두리안정보기술,서울 여의도,기획부,전략기획팀,1,부장,팀원,2,,,jodohyun.4@hanmail.net,010-7670-3363,경기도 수원시 영통구 매탄동,86000000,18,14,우리은행,1002-046-051991,가입,85,C,A,A,C,B,컴퓨터활용능력1급,985,해당,,정직,복무규정위반
EMP0241,김유진,여,29,1998-02-20,980220-2841618,해당없음,2022-02-25,4,대졸,단국대학교,2.9,경력,계약직,현대자동차,대리,백엔드개발,두리안정보기술,서울 강남,기획부,사업기획팀,1,사원,팀원,1,,,kimyujin@nate.com,010-2336-6565,서울시 강서구 마곡동,31000000,9,2,토스뱅크,100-4135-0464,가입,75,,,C,B,B,,675,비해당,,,
EMP0242,곽현준,남,24,2003-06-04,030604-3631972,군필,2026-01-22,0,대졸,연세대학교,2.5,인턴전환,정규직,,,,두리안정보기술,서울 강남,개발부,백엔드팀,1,사원,팀원,1,,,kwakhyunjun80@daum.net,010-3955-9494,서울시 마포구 상암동,35200000,18,0,신한은행,140-953-780781,가입,74,,,,,,,956,비해당,,,
EMP0243,노도현,남,38,1989-09-27,890927-1703022,면제,2012-08-22,13,대졸,건국대학교,2.9,인턴전환,계약직,,,,두리안정보기술,경기 판교,마케팅부,디지털마케팅팀,1,차장,팀원,2,,,nohdohyun_dev@nate.com,010-7984-7623,서울시 영등포구 여의도동,66000000,23,6,토스뱅크,100-9037-5319,가입,88,S,B,A,B,A,,766,비해당,팀워크상,,
EMP0244,강지영,여,31,1996-08-20,960820-2633458,해당없음,2025-06-18,0,대학원졸,전남대학교,3.3,공채,정규직,,,,두리안정보기술,서울 강남,영업부,해외영업팀,1,사원,팀원,1,자발적퇴직,2025-09-28,kangjiyoung13@nate.com,010-4335-9114,서울시 마포구 합정동,36000000,15,6,우리은행,1006-109-665734,가입,61,,,,,,,,비해당,,,
EMP0245,박성민,남,25,2002-11-27,021127-3956397,군필,2025-01-08,1,전문대졸,경북전문대학교,2.6,추천,계약직,,,,두리안정보기술,서울 강남,인사부,교육팀,3,사원,팀원,1,,,parksungmin6@nate.com,010-2874-2888,서울시 마포구 상암동,35000000,9,12,농협은행,302-9240-1130-48,가입,60,,,,,,정보처리기사,711,해당,,,
EMP0246,정윤서,여,36,1991-11-23,911123-2745210,해당없음,2019-12-09,6,대졸,중앙대학교,2.7,인턴전환,정규직,,,,두리안정보기술,서울 여의도,마케팅부,브랜드팀,1,과장,팀원,1,,,jungyunseo_711@naver.com,010-6208-1716,경기도 고양시 일산동구 장항동,59000000,25,4,하나은행,200-351673-8809,가입,85,C,B,B,B,B,,890,비해당,,,
EMP0247,임수현,남,29,1998-11-02,981102-1488363,군필,2021-08-07,4,전문대졸,명지전문대학,2.8,공채,정규직,,,,두리안정보기술,서울 여의도,마케팅부,디지털마케팅팀,1,대리,팀원,1,,,limsoohyun82@hanmail.net,010-2960-4678,경기도 용인시 기흥구 영덕동,44000000,12,7,토스뱅크,100-5039-1898,가입,71,,C,C,C,C,SQLD,773,해당,공로상,,
EMP0248,주민석,남,24,2003-07-10,030710-3993055,군필,2025-10-21,0,대졸,광운대학교,3,인턴전환,정규직,,,,두리안정보기술,경기 판교,마케팅부,디지털마케팅팀,1,사원,팀원,1,,,juminseok63@kakao.com,010-7364-8594,서울시 노원구 상계동,36000000,11,11,우리은행,1005-122-676127,가입,64,,,,,,정보처리기사,653,해당,MVP,,
EMP0249,홍소연,여,27,2000-04-19,000419-4289074,해당없음,2025-04-23,1,대졸,강원대학교,3.1,추천,계약직,,,,두리안정보기술,서울 여의도,기획부,사업기획팀,1,사원,팀원,1,,,hongsoyeon44@hanmail.net,010-4240-3468,서울시 영등포구 여의도동,33000000,5,12,카카오뱅크,333-53-7973292,가입,66,,,,,,정보보안기사,580,해당,,,
EMP0250,남지원,여,43,1984-10-17,841017-2271187,해당없음,2007-06-20,18,대졸,서울대학교,3.8,인턴전환,계약직,,,,두리안정보기술,서울 강남,개발부,백엔드팀,1,부장,팀원,2,,,namjiwon_675@gmail.com,010-3402-8289,서울시 서초구 서초동,83600000,13,13,기업은행,020-27-849808,가입,90,A,S,A,B,A,AWS Solutions Architect,551,해당,,,
